                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
08;08;08;06501;06501;X0806501;LATA VAZIA (USADA EM CONSTRUCAO);;
08;08;08;06502;06502;X0806502;BALDE PARA CONSTRUCAO;;
08;08;08;06601;06601;X0806601;RUFO DE TELHADO;;
08;08;08;06602;06602;X0806602;RUFO PARA TELHADO;;
08;08;08;06701;06701;X0806701;FIXOTAC;;
08;08;08;06801;06801;X0806801;OXIDO DE FERRO (PARA PISO DE CERAMICA);;
08;08;08;07001;07001;X0807001;PAPEL DE PAREDE;;
08;08;08;07101;07101;X0807101;ALUGUEL DE LIXADEIRA ELETRICA;;
08;08;08;07201;07201;X0807201;MOTOR ELETRICO PARA PORTAO;;
08;08;08;07301;07301;X0807301;MANUTENCAO DE JAZIGO;;
08;08;08;07401;07401;X0807401;EXUMACAO;;
08;08;08;07501;07501;X0807501;PLACA DE JAZIGO;;
08;08;08;07601;07601;X0807601;CONDOMINIO DE JAZIGO;;
08;08;08;07602;07602;X0807602;TAXA DE CONDOMINIO DE JAZIGO;;
08;08;08;07701;07701;X0807701;MADEIRA E TACO DE MADEIRA CERTIFICADA (SELO FSC);;
08;08;08;07702;07702;X0807702;TACO DE MADEIRA CERTIFICADA (SELO FSC);;
08;08;08;07703;07703;X0807703;CAIBRO DE MADEIRA CERTIFICADA (SELO FSC);;
08;08;08;07704;07704;X0807704;RIPA DE MADEIRA CERTIFICADA (SELO FSC);;
08;08;08;07705;07705;X0807705;SARRAFO DE MADEIRA CERTIFICADA (SELO FSC);;
08;08;08;07706;07706;X0807706;MADEIRA COM CERTIFICADO (SELO FSC);;
08;08;08;07801;07801;X0807801;ACESSORIOS PARA BANHEIRO;;
08;08;08;07901;07901;X0807901;CAIXA PARA AR CONDICIONADO;;
08;08;08;99901;99901;X0899901;AGREGADO;;
09;09;09;00101;00101;X0900101;CONSERTO DE MOVEIS (PECA+MAO-DE-OBRA);;
09;09;09;00102;00102;X0900102;REFORMA DE MOVEIS (PECA+MAO-DE-OBRA);;
09;09;09;00201;00201;X0900201;CONSERTO DE MOVEIS (PECA);;
09;09;09;00202;00202;X0900202;REFORMA DE MOVEIS (PECA);;
09;09;09;00301;00301;X0900301;CONSERTO DE MOVEIS (MAO-DE-OBRA);;
09;09;09;00302;00302;X0900302;REFORMA DE MOVEIS (MAO-DE-OBRA);;
09;09;09;00401;00401;X0900401;MANUTENCAO DE MOVEIS;;
09;09;09;00501;00501;X0900501;CONSERTO DE ASPIRADOR DE PO (PECA+MAO-DE-OBRA);;
09;09;09;00601;00601;X0900601;CONSERTO DE ASPIRADOR DE PO (PECA);;
09;09;09;00701;00701;X0900701;CONSERTO DE ASPIRADOR DE PO (MAO-DE-OBRA);;
09;09;09;00801;00801;X0900801;MANUTENCAO DE APARELHOS DOMESTICOS;;
09;09;09;00901;00901;X0900901;CONSERTO DE GRILL (PECA+MAO-DE-OBRA);;
09;09;09;01001;01001;X0901001;CONSERTO DE GRILL (PECA);;
09;09;09;01101;01101;X0901101;CONSERTO DE GRILL (MAO-DE-OBRA);;
09;09;09;01201;01201;X0901201;MANUTENCAO DE UTENSILIOS DOMESTICOS NAO-ELETRICOS;;
09;09;09;01301;01301;X0901301;MANUTENCAO DE UTENSILIOS DOMESTICOS ELETRICOS;;
